region_code,category_id,video_id,title,published_at,view_count,like_count,comment_count,channel_title
US,1,IsKRyps6x5w,The girl hid in the suitcase and asked for help.,2025-03-28,17361512,895459,414,chillzone03
US,1,L0GejUojYT0,The behavior of that little girl is extremely confusing.,2025-03-28,13602617,474306,1507,Harlee Sandifer
US,1,d2VXGBTV6Q0,Imformation 1$,2025-03-25,23453542,1376396,2528,MiddleMoment
US,1,3mp-D5j6VUQ,Karen was the best character on the show broken_heartpensive_face,2025-03-29,6860376,707926,3724,MovieLuxeShorts
US,1,31jIwbbsdck,The spy loyalty testskullflushed_face,2025-03-28,9564143,700035,858,Snow Moments
US,1,oxdvmsexxhI,Bruce always manages to solve everything with money.,2025-03-25,24167992,2020102,4475,Sartre Nick
US,1,LWuYy86umqw,"With five bullets, he became the strongest sniper",2025-03-23,20390610,1268977,5191,Cine Decode Pro
US,1,gAg25WT_EDY,How do you change your child’s bad habits?,2025-03-29,6439020,303505,343,Paul Jordin
US,1,dRqWlcLcu0U,Gumball&Darwin using 1% of there power,2025-03-27,8069399,525972,1440,Watterson_Chaos
US,1,7pbn5akxlD8,What choice will they make,2025-03-26,7997069,455536,1865,pixelman19
US,1,uSVfU7OV33E,"Who is right and who is wrong, the doctor or the mother?",2025-03-28,4659036,811878,8721,timm breann
US,1,3H7Y89x4ETI,Why's he wearing a wetsuit at the shooting range?(part 1),2025-03-28,5797487,472673,718,MovieMurmur
US,1,sUIpbq73Kkc,Part.1.A top agent rescues a lot of hostages,2025-03-26,4348389,276350,413,AgiRecaps
US,1,BEB6RAP7Tjw,When Disney buys new franchises...,2025-03-30,4745291,435487,2914,I am MoBo
US,1,diAMmlblcLo,Black People Can’t Read!!!face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy| Kill Tony,2025-03-27,3974255,280010,1389,LifeofLogos
US,1,QeRztH4poOg,Homer becomes a prison snitch.,2025-03-24,13584589,865062,717,Bart Wow
US,1,BGjJa6P4HQs,Finding Best Movies Part 130 movie_camera Switched at Birth,2025-03-25,3306669,470665,1971,Fandom Buzz
US,1,hoITZnK_P0o,shorts,2025-03-26,12596586,373511,655,Fedrick Nnadi
US,1,ViNhJzXTGMg,Momentum is important.,2025-03-28,3330150,190909,537,gaylor syncere
US,1,hLtI9mvgSro,Group Chat Cold Open - SNL,2025-03-30,2963642,63166,2268,Saturday Night Live
US,1,1-ED_s0YlHY,When a black man meets a cop,2025-03-20,21634163,1885944,1811,Thelma Jast
US,1,biOSQuKeZLo,Dave Chappelle's HILARIOUS Gun Store Visit! face_with_tears_of_joy,2025-03-24,5693179,350716,2076,Spotlight Shorts
US,1,PUPUbbNyriE,A gathering place for people with superpowers.,2025-03-26,10001508,570426,2001,Pocket Movies
US,1,nN_ve25PU88,Bart had a fake wedding,2025-03-28,6478328,399915,311,MOVIE TART
US,1,PRCyHv8LP0w,Quagmire has proved time and time again to be one of the most intelligent Characters in the show.,2025-03-24,9688504,745418,544,FamilyGuy TV
US,1,OC13DIKIPUM,“Mother ignore the needs of her children “,2025-03-18,32774027,2633458,12126,Poblan56
US,1,gQd_q2NUqNo,Don’t miss the wonderful show,2025-03-27,5541686,269275,421,Maverick
US,1,Q5t38h9eFR4,Taylor’s sister refuses to share clothes with her!,2025-03-25,12831118,775734,1082,Rebecca Movies
US,1,09SQ2YF2POU,Can the police just break the rules? | (SPOILERS!),2025-03-26,5020369,336636,1107,Wimfor Taborra
US,1,UpjtVUh7HmQ,He's looking for a K in Spades sniper rifle.,2025-03-22,9390445,443968,2495,Movie Highlights
